time,Union_Gap_GH,Mabton_GH,Kiona_GH,Union_Gap_UD,Mabton_UD,Kiona_UD
2025-01-03 04:00:00+00:00,40.84,13.13,5.54,2190,3200,3810
2025-01-03 04:15:00+00:00,40.84,13.13,5.54,2190,3200,3810
2025-01-03 04:30:00+00:00,40.84,13.13,5.53,2190,3200,3800
2025-01-03 04:45:00+00:00,40.84,13.13,5.53,2190,3200,3800
2025-01-03 05:00:00+00:00,40.84,13.13,5.53,2190,3200,3800
2025-01-03 05:15:00+00:00,40.84,13.13,5.53,2190,3200,3800
2025-01-03 05:30:00+00:00,40.84,13.13,5.53,2190,3200,3800
2025-01-03 05:45:00+00:00,40.84,13.13,5.52,2190,3200,3780
2025-01-03 06:00:00+00:00,40.84,13.13,5.52,2190,3200,3780
2025-01-03 06:15:00+00:00,40.84,13.12,5.52,2190,3180,3780
2025-01-03 06:30:00+00:00,40.84,13.12,5.52,2190,3180,3780
2025-01-03 06:45:00+00:00,40.84,13.12,5.52,2190,3180,3780
2025-01-03 07:00:00+00:00,40.83,13.12,5.52,2170,3180,3780
2025-01-03 07:15:00+00:00,40.83,13.12,5.52,2170,3180,3780
2025-01-03 07:30:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 07:45:00+00:00,40.83,13.12,5.52,2170,3180,3780
2025-01-03 08:00:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 08:15:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 08:30:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 08:45:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 09:00:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 09:15:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 09:30:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 09:45:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 10:00:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 10:15:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 10:30:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 10:45:00+00:00,40.82,13.12,5.51,2160,3180,3770
2025-01-03 11:00:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 11:15:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 11:30:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 11:45:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 12:00:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 12:15:00+00:00,40.82,13.12,5.5,2160,3180,3750
2025-01-03 12:30:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 12:45:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 13:00:00+00:00,40.83,13.12,5.5,2170,3180,3750
2025-01-03 13:15:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 13:30:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 13:45:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 14:00:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 14:15:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 14:30:00+00:00,40.83,13.12,5.52,2170,3180,3780
2025-01-03 14:45:00+00:00,40.83,13.12,5.51,2170,3180,3770
2025-01-03 15:00:00+00:00,40.84,13.13,5.52,2190,3210,3780
2025-01-03 15:15:00+00:00,40.84,13.13,5.52,2190,3210,3780
2025-01-03 15:30:00+00:00,40.84,13.13,5.52,2190,3210,3780
2025-01-03 15:45:00+00:00,40.84,13.13,5.52,2190,3210,3780
2025-01-03 16:00:00+00:00,40.84,13.13,5.52,2190,3210,3780
2025-01-03 16:15:00+00:00,40.84,13.13,5.53,2190,3210,3800
2025-01-03 16:30:00+00:00,40.84,13.13,5.53,2190,3210,3800
2025-01-03 16:45:00+00:00,40.85,13.13,5.54,2200,3210,3810
2025-01-03 17:00:00+00:00,40.85,13.14,5.54,2200,3230,3810
2025-01-03 17:15:00+00:00,40.85,13.13,5.54,2200,3210,3810
2025-01-03 17:30:00+00:00,40.85,13.14,5.54,2200,3230,3810
2025-01-03 17:45:00+00:00,40.85,13.14,5.54,2200,3230,3810
2025-01-03 18:00:00+00:00,40.86,13.14,5.55,2220,3230,3820
2025-01-03 18:15:00+00:00,40.86,13.14,5.55,2220,3230,3820
2025-01-03 18:30:00+00:00,40.86,13.14,5.55,2220,3230,3820
2025-01-03 18:45:00+00:00,40.86,13.14,5.55,2220,3230,3820
2025-01-03 19:00:00+00:00,40.86,13.14,5.55,2220,3230,3820
2025-01-03 19:15:00+00:00,40.86,13.14,5.55,2220,3230,3820
2025-01-03 19:30:00+00:00,40.86,13.15,5.55,2220,3250,3820
2025-01-03 19:45:00+00:00,40.86,13.15,5.56,2220,3250,3840
2025-01-03 20:00:00+00:00,40.86,13.15,5.55,2220,3250,3820
2025-01-03 20:15:00+00:00,40.87,13.15,5.56,2230,3250,3840
2025-01-03 20:30:00+00:00,40.86,13.15,5.56,2220,3250,3840
2025-01-03 20:45:00+00:00,40.87,13.15,5.57,2230,3250,3850
2025-01-03 21:00:00+00:00,40.87,13.15,5.56,2230,3250,3840
2025-01-03 21:15:00+00:00,40.87,13.15,5.57,2230,3250,3850
2025-01-03 21:30:00+00:00,40.86,13.15,5.57,2220,3250,3850
2025-01-03 21:45:00+00:00,40.86,13.15,5.57,2220,3250,3850
2025-01-03 22:00:00+00:00,40.86,13.15,5.55,2220,3250,3820
2025-01-03 22:15:00+00:00,40.86,13.15,5.56,2220,3260,3840
2025-01-03 22:30:00+00:00,40.87,13.15,5.55,2230,3260,3820
2025-01-03 22:45:00+00:00,40.87,13.15,5.54,2230,3260,3810
2025-01-03 23:00:00+00:00,40.87,13.15,5.54,2230,3260,3810
2025-01-03 23:15:00+00:00,40.87,13.15,5.54,2230,3260,3810
2025-01-03 23:30:00+00:00,40.87,13.15,5.55,2230,3260,3820
2025-01-03 23:45:00+00:00,40.87,13.15,5.54,2230,3260,3810
2025-01-04 00:00:00+00:00,40.87,13.16,5.54,2230,3280,3810
2025-01-04 00:15:00+00:00,40.87,13.15,5.54,2230,3260,3810
2025-01-04 00:30:00+00:00,40.87,13.16,5.54,2230,3280,3810
2025-01-04 00:45:00+00:00,40.87,13.16,5.53,2230,3280,3800
2025-01-04 01:00:00+00:00,40.87,13.15,5.53,2230,3260,3800
2025-01-04 01:15:00+00:00,40.87,13.16,5.53,2230,3280,3800
2025-01-04 01:30:00+00:00,40.87,13.15,5.53,2230,3260,3800
2025-01-04 01:45:00+00:00,40.87,13.16,5.53,2230,3280,3800
2025-01-04 02:00:00+00:00,40.87,13.15,5.53,2230,3260,3800
2025-01-04 02:15:00+00:00,40.87,13.16,5.53,2230,3280,3800
2025-01-04 02:30:00+00:00,40.87,13.16,5.53,2230,3280,3800
2025-01-04 02:45:00+00:00,40.87,13.16,5.52,2230,3280,3780
2025-01-04 03:00:00+00:00,40.87,13.16,5.52,2230,3280,3780
2025-01-04 03:15:00+00:00,40.87,13.16,5.52,2230,3280,3780
2025-01-04 03:30:00+00:00,40.87,13.16,5.52,2230,3280,3780
2025-01-04 03:45:00+00:00,40.87,13.16,5.52,2230,3280,3780
2025-01-04 04:00:00+00:00,40.87,13.16,5.52,2230,3280,3780
2025-01-04 04:15:00+00:00,40.86,13.16,5.52,2220,3280,3780
2025-01-04 04:30:00+00:00,40.86,13.16,5.52,2220,3280,3780
2025-01-04 04:45:00+00:00,40.86,13.16,5.52,2220,3280,3780
2025-01-04 05:00:00+00:00,40.86,13.16,5.52,2220,3280,3780
2025-01-04 05:15:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 05:30:00+00:00,40.86,13.16,5.52,2220,3280,3780
2025-01-04 05:45:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 06:00:00+00:00,40.86,13.16,5.52,2220,3280,3780
2025-01-04 06:15:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 06:30:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 06:45:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 07:00:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 07:15:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 07:30:00+00:00,40.86,13.16,5.51,2220,3280,3770
2025-01-04 07:45:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 08:00:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 08:15:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 08:30:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 08:45:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 09:00:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 09:15:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 09:30:00+00:00,40.85,13.16,5.51,2200,3280,3770
2025-01-04 09:45:00+00:00,40.84,13.16,5.51,2190,3280,3770
2025-01-04 10:00:00+00:00,40.84,13.16,5.51,2190,3290,3770
2025-01-04 10:15:00+00:00,40.84,13.15,5.51,2190,3260,3770
2025-01-04 10:30:00+00:00,40.84,13.17,5.51,2190,3310,3770
2025-01-04 10:45:00+00:00,40.84,13.16,5.51,2190,3290,3770
2025-01-04 11:00:00+00:00,40.84,13.16,5.52,2190,3290,3780
2025-01-04 11:15:00+00:00,40.84,13.16,5.52,2190,3290,3780
2025-01-04 11:30:00+00:00,40.83,13.17,5.51,2170,3310,3770
2025-01-04 11:45:00+00:00,40.83,13.17,5.51,2170,3310,3770
2025-01-04 12:00:00+00:00,40.83,13.17,5.52,2170,3310,3780
2025-01-04 12:15:00+00:00,40.83,13.16,5.52,2170,3290,3780
2025-01-04 12:30:00+00:00,40.83,13.16,5.52,2170,3290,3780
2025-01-04 12:45:00+00:00,40.83,13.17,5.52,2170,3310,3780
2025-01-04 13:00:00+00:00,40.83,13.17,5.53,2170,3310,3790
2025-01-04 13:15:00+00:00,40.83,13.16,5.52,2170,3290,3780
2025-01-04 13:30:00+00:00,40.82,13.16,5.52,2160,3290,3780
2025-01-04 13:45:00+00:00,40.82,13.17,5.52,2160,3310,3780
2025-01-04 14:00:00+00:00,40.82,13.16,5.52,2160,3290,3780
2025-01-04 14:15:00+00:00,40.82,13.17,5.52,2160,3310,3780
2025-01-04 14:30:00+00:00,40.82,13.17,5.52,2160,3310,3780
2025-01-04 14:45:00+00:00,40.82,13.16,5.52,2160,3290,3780
2025-01-04 15:00:00+00:00,40.82,13.16,5.52,2160,3290,3780
2025-01-04 15:15:00+00:00,40.82,13.17,5.52,2160,3310,3780
2025-01-04 15:30:00+00:00,40.81,13.17,5.52,2140,3310,3780
2025-01-04 15:45:00+00:00,40.81,13.16,5.52,2140,3290,3780
2025-01-04 16:00:00+00:00,40.81,13.16,5.53,2140,3290,3790
2025-01-04 16:15:00+00:00,40.81,13.16,5.52,2140,3290,3780
2025-01-04 16:30:00+00:00,40.81,13.16,5.52,2140,3290,3780
2025-01-04 16:45:00+00:00,40.81,13.16,5.53,2140,3290,3790
2025-01-04 17:00:00+00:00,40.81,13.16,5.53,2140,3290,3790
2025-01-04 17:15:00+00:00,40.81,13.16,5.53,2140,3290,3790
2025-01-04 17:30:00+00:00,40.81,13.16,5.52,2140,3290,3780
2025-01-04 17:45:00+00:00,40.81,13.16,5.52,2140,3290,3780
2025-01-04 18:00:00+00:00,40.8,13.16,5.53,2120,3290,3790
2025-01-04 18:15:00+00:00,40.8,13.16,5.53,2120,3290,3790
2025-01-04 18:30:00+00:00,40.8,13.16,5.53,2120,3290,3790
2025-01-04 18:45:00+00:00,40.8,13.16,5.53,2120,3290,3790
2025-01-04 19:00:00+00:00,40.8,13.16,5.53,2120,3290,3790
2025-01-04 19:15:00+00:00,40.8,13.15,5.54,2120,3270,3810
2025-01-04 19:30:00+00:00,40.8,13.15,5.53,2120,3270,3790
2025-01-04 19:45:00+00:00,40.8,13.15,5.54,2120,3270,3810
2025-01-04 20:00:00+00:00,40.8,13.15,5.54,2120,3270,3810
