region,year,cold_dur_temp11,cold_dur_temp12,cold_dur_temp13,cold_dur_temp14,cold_dur_temp21,cold_dur_temp22,cold_dur_temp23,cold_dur_temp24,cold_dur_temp31,cold_dur_temp32,cold_dur_temp33,cold_dur_temp34,cold_dur_temp41,cold_dur_temp42,cold_dur_temp43,cold_dur_temp44,heat_dur_temp11,heat_dur_temp12,heat_dur_temp13,heat_dur_temp14,heat_dur_temp21,heat_dur_temp22,heat_dur_temp23,heat_dur_temp24,heat_dur_temp31,heat_dur_temp32,heat_dur_temp33,heat_dur_temp34,heat_dur_temp41,heat_dur_temp42,heat_dur_temp43,heat_dur_temp44
NERC11,1985,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0
NERC11,1986,0,0,4,1,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
NERC11,1987,0,1,0,4,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1
NERC11,1988,0,0,1,1,0,2,1,0,2,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
NERC11,1989,0,1,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0
NERC11,1990,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,1,1,1,0,0,0,0
NERC11,1991,0,1,1,5,1,1,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,3,0,0,0,0,1,1,0
NERC11,1992,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
NERC11,1993,0,0,1,3,2,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2
NERC11,1994,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
NERC11,1995,0,1,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2
NERC11,1996,0,0,5,1,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
NERC11,1997,0,0,0,2,0,0,3,1,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
NERC11,1998,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1
NERC11,1999,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
NERC11,2000,0,1,1,2,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
NERC11,2001,0,1,0,2,0,0,0,0,0,2,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
NERC11,2002,0,0,3,1,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,1
