"perm_num","start_yr","type","NERC_ID","start_date","end_date","centroid_date","extr_temp","duration","spatial_coverage","impact","extreme_type"
166,2002,"heat_wave","NERC18",2002-08-21,2002-08-23,2002-08-21,302.193373164534,3,59.915611814346,2191.72023970105,"heat_dur_temp21"
167,2002,"heat_wave","NERC18",2002-09-01,2002-09-02,2002-09-02,306.346414870063,2,19.4092827004219,634.544374702865,"heat_dur_temp13"
168,2002,"heat_wave","NERC18",2002-09-07,2002-09-09,2002-09-07,308.270984279863,3,55.0632911392405,3018.18158040775,"heat_dur_temp24"
169,2003,"heat_wave","NERC18",2003-06-23,2003-06-25,2003-06-24,304.491008869691,3,74.0506329113924,3219.20513497565,"heat_dur_temp22"
170,2003,"heat_wave","NERC18",2003-07-02,2003-07-07,2003-07-03,306.420648465882,6,93.4599156118144,9208.0345194756,"heat_dur_temp44"
171,2003,"heat_wave","NERC18",2003-07-25,2003-07-27,2003-07-26,308.357200226993,3,85.8649789029536,4728.72183062414,"heat_dur_temp24"
172,2003,"heat_wave","NERC18",2003-08-15,2003-08-16,2003-08-16,308.695448431751,2,57.5949367088608,2153.52633834094,"heat_dur_temp14"
173,2003,"heat_wave","NERC18",2003-08-18,2003-08-21,2003-08-18,309.446179267288,4,91.5611814345992,7122.0605924076,"heat_dur_temp34"
174,2003,"heat_wave","NERC18",2003-08-24,2003-08-26,2003-08-24,311.142365268507,3,82.0675105485232,5205.30385408178,"heat_dur_temp24"
175,2004,"heat_wave","NERC18",2004-06-07,2004-06-08,2004-06-07,304.456825967352,2,61.1814345991561,1768.97870486586,"heat_dur_temp12"
176,2004,"heat_wave","NERC18",2004-07-10,2004-07-13,2004-07-12,304.270034079457,4,86.2869198312236,4925.26914641174,"heat_dur_temp32"
177,2004,"heat_wave","NERC18",2004-07-20,2004-07-22,2004-07-21,305.439465014837,3,92.4050632911393,4280.05422563204,"heat_dur_temp23"
178,2004,"heat_wave","NERC18",2004-08-01,2004-08-03,2004-08-01,305.669992899931,3,70.6751054852321,3322.43520346638,"heat_dur_temp23"
179,2004,"heat_wave","NERC18",2004-08-25,2004-08-26,2004-08-26,304.117527462009,2,31.2236286919831,881.600871045286,"heat_dur_temp12"
180,2005,"heat_wave","NERC18",2005-06-10,2005-06-11,2005-06-10,299.692968881015,2,43.2489451476793,838.421358906362,"heat_dur_temp11"
181,2005,"heat_wave","NERC18",2005-06-21,2005-06-30,2005-06-23,306.432133262235,10,95.3586497890296,15669.4604104013,"heat_dur_temp44"
182,2005,"heat_wave","NERC18",2005-07-09,2005-07-18,2005-07-17,307.740912134606,10,98.1012658227848,17404.0593725565,"heat_dur_temp44"
183,2005,"heat_wave","NERC18",2005-07-20,2005-07-25,2005-07-24,308.972464501683,6,89.873417721519,10230.7213641987,"heat_dur_temp44"
