Test_Idx,Baseline,Actual_+15m,Multi-RF_+15m,Multi-XGB_+15m,MLP_+15m,LSTM_+15m,Transformer_+15m,Persistent_+15m,Actual_+60m,Multi-RF_+60m,Multi-XGB_+60m,MLP_+60m,LSTM_+60m,Transformer_+60m,Persistent_+60m,Actual_+240m,Multi-RF_+240m,Multi-XGB_+240m,MLP_+240m,LSTM_+240m,Transformer_+240m,Persistent_+240m,Actual_+1440m,Multi-RF_+1440m,Multi-XGB_+1440m,MLP_+1440m,LSTM_+1440m,Transformer_+1440m,Persistent_+1440m
71616,5.571323694722217,5.604504469722222,5.57081666380554,5.571496411360407,5.571841506348413,5.575010227100414,5.573678867952388,5.571323694722217,5.604104844722222,5.571311164051702,5.573681536657226,5.573266715105113,5.586155334548515,5.571330132023853,5.571323694722217,5.574519903055553,5.56815593981025,5.579068160211158,5.573617556891826,5.5891971402479825,5.573643865124744,5.571323694722217,5.553362703055555,5.600459907874975,5.61709698109464,5.602593427584928,5.581332551376384,5.609660325632852,5.571323694722217
71617,5.60468469472222,5.598948369722223,5.604177663805543,5.60485741136041,5.605202506348416,5.607859593868181,5.607039525225684,5.60468469472222,5.5813972280555575,5.6046721640517045,5.607042536657229,5.606627715105116,5.618584231525585,5.60468543978028,5.60468469472222,5.6084167697222185,5.601516939810253,5.6124291602111605,5.6069785568918284,5.622346433862969,5.6069987705498185,5.60468469472222,5.5805666363888875,5.633820907874978,5.637826814368292,5.635954427584931,5.613806872680708,5.642898666724488,5.60468469472222
71618,5.603451878055555,5.573110419722223,5.602944847138878,5.603624594693745,5.603969689681751,5.606147388219458,5.605806663855535,5.603451878055555,5.587164294722221,5.60343934738504,5.605809719990564,5.605394898438451,5.616466061435265,5.603455543741209,5.603451878055555,5.580457653055554,5.600284123143588,5.611196343544496,5.605745740225164,5.62058928072415,5.605792269333822,5.603451878055555,5.5679706697222215,5.632588091208313,5.6365939977016275,5.634721610918266,5.61096675716303,5.641608726456386,5.603451878055555
71619,5.5663655530555545,5.607011103055555,5.565858522138877,5.566538269693744,5.56688336468175,5.569696431968957,5.568722603832036,5.5663655530555545,5.6055206197222205,5.566353022385039,5.568723394990563,5.5683085734384505,5.580954695109874,5.5663549434287845,5.5663655530555545,5.59025869472222,5.563197798143587,5.574110018544495,5.568659415225163,5.585295164947063,5.568527607236653,5.5663655530555545,5.563432853055552,5.595501766208312,5.612138839427978,5.597635285918265,5.582358492527753,5.60489790326789,5.5663655530555545
71620,5.602925636388889,5.58999089472222,5.602418605472212,5.603098353027079,5.603443448015085,5.606831192553571,5.605282880880466,5.602925636388889,5.566443461388886,5.602913105718374,5.605283478323898,5.604868656771785,5.617913909771076,5.6028944631596715,5.602925636388889,5.609923594722218,5.599757881476922,5.6106701018778296,5.6052194985584975,5.619486999281278,5.604950480677715,5.602925636388889,5.577751944722223,5.632061849541647,5.636926647790304,5.6341953692516,5.615854137160412,5.641537469395033,5.602925636388889
71621,5.595543411388888,5.578531728055555,5.595036380472211,5.595716128027078,5.596061223015084,5.599287959575548,5.597901222124591,5.595543411388888,5.596902819722221,5.595530880718373,5.597901253323897,5.5974864317717845,5.60996701085557,5.595531341448321,5.595543411388888,5.573853536388889,5.592375656476921,5.603287876877829,5.597837273558497,5.612045368939533,5.597712439313426,5.595543411388888,5.558148361388888,5.624679624541646,5.628685531034961,5.626813144251599,5.604367491617694,5.634009794160619,5.595543411388888
71622,5.576045694722222,5.607127111388891,5.575538663805545,5.576218411360411,5.576563506348418,5.579960491469489,5.578404518736885,5.576045694722222,5.602346253055554,5.576033164051706,5.57840353665723,5.577988715105118,5.59108222365229,5.576037528885887,5.576045694722222,5.599528511388886,5.572877939810255,5.583790160211162,5.57833955689183,5.594927894844101,5.578216004146622,5.576045694722222,5.57377609472222,5.60518190787498,5.621818981094645,5.607315427584933,5.5894607333078845,5.614576226992892,5.576045694722222
71623,5.60448081972222,5.575189703055557,5.6039737888055425,5.604653536360409,5.6049986313484155,5.608317100388511,5.606839867254301,5.60448081972222,5.56130219472222,5.604468289051704,5.606838661657228,5.606423840105116,5.619166294058367,5.604466082473799,5.60448081972222,5.605033619722221,5.6013130648102525,5.61222528521116,5.606774681891828,5.622600145583554,5.606625156422659,5.60448081972222,5.581867669722222,5.6336170328749775,5.638481831123634,5.6357505525849305,5.616182016154333,5.642956538071438,5.60448081972222
71624,5.582582461388888,5.589466686388889,5.582075430472211,5.582755178027078,5.583100273015084,5.587015741245928,5.584942417891803,5.582582461388888,5.603462628055553,5.582569930718373,5.584940303323897,5.584525481771784,5.598415589632573,5.582557919176402,5.582582461388888,5.562387969722224,5.579414706476921,5.590326926877829,5.584876323558497,5.60161390595335,5.584607037456813,5.582582461388888,5.547075011388884,5.611718674541646,5.6283557477613115,5.613852194251599,5.598309117110553,5.621309323908868,5.582582461388888
71625,5.586700136388885,5.605779761388888,5.586193105472208,5.586872853027074,5.5872179480150805,5.590907828497933,5.589060145045863,5.586700136388885,5.602507936388889,5.586687605718369,5.589057978323893,5.588643156771781,5.601698103907751,5.5866978267089,5.586700136388885,5.604989011388888,5.5835323814769175,5.594444601877825,5.588993998558493,5.6066210368529426,5.588910410727607,5.586700136388885,5.571680386388891,5.615836349541643,5.619842256034957,5.617969869251596,5.5995594063655005,5.625191925640451,5.586700136388885
