year,month,pdo,nino34,pna,amo
1980,3,1.09,0.03,-0.64,-0.151
1980,4,1.49,-0.07,1.66,-0.013
1980,5,1.2,0.08,-0.16,0.117
1980,6,-0.22,0.21,-0.81,0.096
1980,7,0.23,-0.06,-0.81,0.038
1980,8,0.51,-0.38,-2.03,0.011
1980,9,0.1,-0.28,-0.08,-0.02
1980,10,1.35,-0.26,2.87,-0.074
1980,11,0.37,-0.1,1.28,-0.209
1980,12,-0.1,0.05,-0.57,-0.261
1981,1,0.59,-0.36,2.46,-0.189
1981,2,1.46,-0.64,0.21,-0.188
1981,3,0.99,-0.64,1.27,-0.007
1981,4,1.45,-0.53,-1.23,-0.103
1981,5,1.75,-0.57,1.83,-0.091
1981,6,1.69,-0.46,-0.1,-0.07
1981,7,0.84,-0.64,-1.02,-0.102
1981,8,0.18,-0.53,-1.54,-0.123
1981,9,0.42,-0.19,0.08,-0.044
1981,10,0.18,-0.3,-1.43,-0.194
1981,11,0.8,-0.41,1.19,-0.144
1981,12,0.67,-0.2,-0.42,-0.014
1982,1,0.34,0.13,-1.75,-0.089
1982,2,0.2,-0.17,-1.2,-0.086
1982,3,0.19,0.13,-1.66,-0.088
1982,4,-0.19,0.21,-2.08,-0.19
1982,5,-0.58,0.45,-0.53,-0.199
1982,6,-0.78,0.53,2.17,-0.192
1982,7,0.58,0.37,0.49,-0.236
1982,8,0.39,0.73,0.31,-0.317
1982,9,0.84,1.49,0.83,-0.315
1982,10,0.37,1.99,-0.86,-0.379
1982,11,-0.25,1.92,-0.47,-0.425
1982,12,0.26,2.2,0.45,-0.388
1983,1,0.56,2.35,0.87,-0.306
1983,2,1.14,1.94,1.44,-0.112
1983,3,2.11,1.38,2.03,0.073
1983,4,1.87,0.95,0.98,0.051
1983,5,1.8,0.9,-0.08,-0.056
1983,6,2.36,0.54,2.1,-0.062
1983,7,3.51,-0.11,0.82,-0.023
1983,8,1.85,-0.27,0.5,-0.166
1983,9,0.91,-0.52,-1.37,-0.224
1983,10,0.96,-1.16,0.26,-0.203
1983,11,1.02,-1.29,1.75,-0.166
1983,12,1.69,-1.03,-0.61,-0.011
1984,1,1.5,-0.67,0.6,-0.114
1984,2,1.21,-0.19,0.73,-0.096
1984,3,1.77,-0.52,1.08,-0.133
1984,4,1.52,-0.68,1.41,-0.165
1984,5,1.3,-0.73,0.37,-0.174
1984,6,0.18,-0.9,-0.36,-0.333
1984,7,-0.18,-0.5,-2.61,-0.274
1984,8,-0.03,-0.24,-1.14,-0.234
1984,9,0.67,-0.34,-0.02,-0.217
1984,10,0.58,-0.67,-0.53,-0.352
1984,11,0.71,-1.19,0.39,-0.432
1984,12,0.82,-1.34,-1.9,-0.326
1985,1,1.27,-1.16,1.44,-0.363
1985,2,0.94,-0.72,-0.99,-0.338
1985,3,0.57,-0.79,-1.19,-0.365
1985,4,0.19,-1.18,-1.27,-0.409
1985,5,0.0,-1.03,-0.82,-0.346
1985,6,0.18,-0.91,1.28,-0.136
1985,7,1.07,-0.74,-0.19,-0.161
1985,8,0.81,-0.56,-0.53,-0.29
1985,9,0.44,-0.7,-0.63,-0.256
1985,10,0.29,-0.49,-1.5,-0.254
1985,11,-0.75,-0.37,-1.83,-0.304
1985,12,0.38,-0.41,1.08,-0.345
1986,1,1.12,-0.66,0.6,-0.352
1986,2,1.61,-0.71,0.41,-0.284
1986,3,2.18,-0.42,0.51,-0.301
1986,4,1.55,-0.33,-0.15,-0.333
1986,5,1.16,-0.53,-0.03,-0.237
1986,6,0.89,-0.31,0.39,-0.27
1986,7,1.38,-0.11,-0.35,-0.258
1986,8,0.22,0.32,-1.49,-0.281
1986,9,0.22,0.53,-0.28,-0.229
1986,10,1.0,0.81,1.18,-0.327
1986,11,1.77,1.01,-0.71,-0.406
1986,12,1.77,1.12,1.06,-0.38
1987,1,1.88,1.14,0.63,-0.287
1987,2,1.75,1.13,0.57,-0.227
1987,3,2.1,0.98,0.85,-0.042
1987,4,2.16,0.58,1.54,0.02
1987,5,1.85,0.62,-1.02,0.059
1987,6,0.73,0.92,0.56,0.194
1987,7,2.01,1.29,-0.43,0.27
1987,8,2.83,1.57,0.74,0.27
1987,9,2.44,1.65,-2.6,0.185
1987,10,1.36,1.24,0.75,0.037
1987,11,1.47,1.07,1.19,-0.079
1987,12,1.27,0.94,0.5,0.034
1988,1,0.93,0.9,0.03,-0.051
1988,2,1.24,0.28,1.37,-0.126
1988,3,1.42,0.1,0.38,-0.021
1988,4,0.94,-0.44,1.12,0.04
1988,5,1.2,-1.25,0.61,0.126
1988,6,0.74,-1.74,1.31,0.154
1988,7,0.64,-1.74,1.6,0.098
1988,8,0.19,-1.19,-0.62,-0.02
1988,9,-0.37,-1.0,-0.97,-0.107
1988,10,-0.1,-1.9,0.89,-0.183
1988,11,-0.02,-2.05,0.11,-0.16
1988,12,-0.43,-1.96,0.33,-0.177
1989,1,-0.95,-1.97,-1.57,-0.234
1989,2,-1.02,-1.47,-1.71,-0.169
1989,3,-0.83,-1.21,-1.56,-0.266
1989,4,-0.32,-1.08,-0.77,-0.302
1989,5,0.47,-0.88,-0.04,-0.16
1989,6,0.36,-0.59,-0.56,0.078
1989,7,0.83,-0.57,-0.59,0.164
1989,8,0.09,-0.53,-0.27,0.1
1989,9,0.05,-0.3,0.41,-0.108
1989,10,-0.12,-0.4,-1.08,-0.136
1989,11,-0.5,-0.45,-0.7,-0.163
1989,12,-0.21,-0.13,0.57,-0.166
1990,1,-0.3,0.01,-1.09,-0.312
1990,2,-0.65,0.21,-2.78,-0.175
1990,3,-0.62,0.04,0.04,-0.192
1990,4,0.27,0.08,-0.62,-0.131
1990,5,0.44,0.08,0.27,-0.072
1990,6,0.44,-0.08,-1.39,-0.07
1990,7,0.27,0.09,-0.26,-0.035
1990,8,0.11,0.22,1.76,0.039
1990,9,0.38,0.22,-0.46,0.133
1990,10,-0.69,0.21,-0.91,0.099
1990,11,-1.69,0.1,-1.66,-0.067
1990,12,-2.23,0.35,-1.62,-0.05
1991,1,-2.02,0.49,0.2,-0.209
1991,2,-1.19,0.32,1.13,-0.131
1991,3,-0.74,0.03,-1.21,-0.083
1991,4,-1.01,0.19,0.38,-0.147
1991,5,-0.51,0.26,-0.63,-0.168
1991,6,-1.47,0.52,-0.92,-0.144
1991,7,-0.1,0.76,0.28,-0.122
1991,8,0.36,0.68,-0.28,-0.123
1991,9,0.65,0.42,1.15,-0.052
1991,10,0.49,0.86,-2.35,-0.277
1991,11,0.42,1.2,0.22,-0.276
1991,12,0.09,1.69,0.17,-0.229
1992,1,0.05,1.84,0.99,-0.205
1992,2,0.31,1.78,0.09,-0.109
1992,3,0.67,1.38,0.46,-0.108
1992,4,0.75,1.2,-0.29,-0.199
1992,5,1.54,1.04,1.2,-0.237
1992,6,1.26,0.58,1.36,-0.166
1992,7,1.9,0.22,0.38,-0.235
1992,8,1.44,0.05,-0.37,-0.396
1992,9,0.83,-0.06,-1.13,-0.385
1992,10,0.93,-0.3,0.4,-0.316
1992,11,0.93,-0.28,0.8,-0.35
1992,12,0.53,-0.15,-1.53,-0.3
1993,1,0.05,0.14,-1.48,-0.256
1993,2,0.19,0.41,0.44,-0.202
1993,3,0.76,0.39,0.94,-0.26
1993,4,1.21,0.59,1.26,-0.189
1993,5,2.13,0.78,2.43,-0.18
1993,6,2.34,0.35,0.66,-0.197
1993,7,2.35,0.23,-0.28,-0.293
1993,8,2.69,0.13,-0.17,-0.245
1993,9,1.56,0.35,-0.97,-0.181
1993,10,1.41,0.06,-0.17,-0.259
1993,11,1.24,0.0,-0.35,-0.335
1993,12,1.07,0.16,0.42,-0.31
1994,1,1.21,0.1,-0.8,-0.313
1994,2,0.59,0.06,-1.27,-0.326
1994,3,0.8,0.11,0.23,-0.296
1994,4,1.05,0.26,-0.7,-0.217
1994,5,1.23,0.31,0.48,-0.224
1994,6,0.46,0.32,-1.36,-0.239
1994,7,0.06,0.24,-0.06,-0.248
1994,8,-0.79,0.53,-1.38,-0.252
1994,9,-1.36,0.48,-2.02,-0.169
1994,10,-1.32,0.75,-0.09,-0.076
1994,11,-1.96,1.11,-1.61,-0.037
1994,12,-1.79,1.25,0.39,-0.108
1995,1,-0.49,1.02,0.2,-0.08
1995,2,0.46,0.73,0.68,-0.057
1995,3,0.75,0.46,0.03,-0.001
1995,4,0.83,0.28,0.04,0.058
1995,5,1.46,-0.11,0.09,0.254
1995,6,1.27,-0.14,0.9,0.346
1995,7,1.71,-0.21,-0.74,0.296
1995,8,0.21,-0.63,-0.33,0.165
1995,9,1.16,-0.84,1.22,0.036
1995,10,0.47,-0.88,0.11,0.084
1995,11,-0.28,-1.1,-0.73,0.109
1995,12,0.16,-0.95,0.62,0.024
1996,1,0.59,-0.86,-0.68,-0.028
1996,2,0.75,-0.86,-0.7,-0.05
1996,3,1.01,-0.61,-0.75,-0.075
1996,4,1.46,-0.47,0.51,-0.008
1996,5,2.18,-0.38,0.37,-0.083
1996,6,1.1,-0.44,-1.18,-0.141
1996,7,0.77,-0.44,0.18,-0.123
1996,8,-0.14,-0.22,-0.93,-0.026
1996,9,0.24,-0.45,-0.27,-0.02
1996,10,-0.33,-0.44,-0.67,-0.163
1996,11,0.09,-0.41,-0.44,-0.192
1996,12,-0.03,-0.64,-1.53,-0.173
1997,1,0.23,-0.53,0.16,-0.109
1997,2,0.28,-0.37,0.45,-0.054
1997,3,0.65,-0.25,-1.56,-0.013
1997,4,1.05,0.16,0.29,-0.011
1997,5,1.83,0.64,0.77,0.021
1997,6,2.76,1.09,-0.25,-0.01
1997,7,2.35,1.56,0.1,0.042
1997,8,2.79,1.89,-0.55,-0.003
1997,9,2.19,2.13,0.22,0.091
1997,10,1.61,2.36,-0.12,0.132
1997,11,1.12,2.41,0.86,0.033
1997,12,0.67,2.29,0.85,0.113
1998,1,0.83,2.38,0.3,0.112
1998,2,1.56,2.03,0.89,0.273
1998,3,2.01,1.34,0.69,0.303
