water_year,month,cal_year,cal_month,mean_flow_cfs,volume_kcfs_days
1958,Aug,1958,8,116452.0,3610.012
1958,Sep,1958,9,84375.0,2531.25
1959,Oct,1958,10,89024.0,2759.744
1959,Nov,1958,11,106885.0,3206.55
1959,Dec,1958,12,123544.0,3829.864
1959,Jan,1959,1,136149.0,4220.619
1959,Feb,1959,2,103703.0,2903.684
1959,Mar,1959,3,110906.0,3438.086
1959,Apr,1959,4,218711.0,6561.33
1959,May,1959,5,421318.0,13060.858
1959,Jun,1959,6,604113.0,18123.39
1959,Jul,1959,7,336995.0,10446.845
1959,Aug,1959,8,142816.0,4427.296
1959,Sep,1959,9,147262.0,4417.86
1960,Oct,1959,10,159502.0,4944.562
1960,Nov,1959,11,149197.0,4475.91
1960,Dec,1959,12,120523.0,3736.213
1960,Jan,1960,1,79901.0,2476.931
1960,Feb,1960,2,98969.0,2870.101
1960,Mar,1960,3,126563.0,3923.453
1960,Apr,1960,4,272738.0,8182.14
1960,May,1960,5,339216.0,10515.696
1960,Jun,1960,6,466016.0,13980.48
1960,Jul,1960,7,273510.0,8478.81
1960,Aug,1960,8,131683.0,4082.173
1960,Sep,1960,9,91422.0,2742.66
1961,Oct,1960,10,79211.0,2455.541
1961,Nov,1960,11,91200.0,2736.0
1961,Dec,1960,12,69875.0,2166.125
1961,Jan,1961,1,72268.0,2240.308
1961,Feb,1961,2,154684.0,4331.152
1961,Mar,1961,3,135926.0,4213.706
1961,Apr,1961,4,178750.0,5362.5
1961,May,1961,5,458387.0,14209.997
1961,Jun,1961,6,634633.0,19038.99
1961,Jul,1961,7,189768.0,5882.808
1961,Aug,1961,8,118809.0,3683.079
1961,Sep,1961,9,76083.0,2282.49
1962,Oct,1961,10,81560.0,2528.36
1962,Nov,1961,11,68356.0,2050.68
1962,Dec,1961,12,65989.0,2045.659
1962,Jan,1962,1,72344.0,2242.664
1962,Feb,1962,2,100103.0,2802.884
1962,Mar,1962,3,86587.0,2684.197
1962,Apr,1962,4,256289.0,7688.67
1962,May,1962,5,364193.0,11289.983
1962,Jun,1962,6,463496.0,13904.88
1962,Jul,1962,7,232487.0,7207.097
1962,Aug,1962,8,140891.0,4367.621
1962,Sep,1962,9,81422.0,2442.66
1963,Oct,1962,10,97477.0,3021.787
1963,Nov,1962,11,108078.0,3242.34
1963,Dec,1962,12,116513.0,3611.903
1963,Jan,1963,1,82112.0,2545.472
1963,Feb,1963,2,151629.0,4245.612
1963,Mar,1963,3,108049.0,3349.519
1963,Apr,1963,4,172805.0,5184.15
1963,May,1963,5,347786.0,10781.366
1963,Jun,1963,6,432764.0,12982.92
1963,Jul,1963,7,237564.0,7364.484
1963,Aug,1963,8,128150.0,3972.65
1963,Sep,1963,9,95569.0,2867.07
1964,Oct,1963,10,73203.0,2269.293
1964,Nov,1963,11,78067.0,2342.01
1964,Dec,1963,12,68525.0,2124.275
1964,Jan,1964,1,64804.0,2008.924
1964,Feb,1964,2,63997.0,1855.913
1964,Mar,1964,3,72170.0,2237.27
1964,Apr,1964,4,151885.0,4556.55
1964,May,1964,5,360320.0,11169.92
1964,Jun,1964,6,675092.0,20252.76
1964,Jul,1964,7,327027.0,10137.837
1964,Aug,1964,8,151279.0,4689.649
1964,Sep,1964,9,101860.0,3055.8
1965,Oct,1964,10,103966.0,3222.946
1965,Nov,1964,11,89992.0,2699.76
1965,Dec,1964,12,163393.0,5065.183
1965,Jan,1965,1,142079.0,4404.449
1965,Feb,1965,2,164905.0,4617.34
1965,Mar,1965,3,136842.0,4242.102
1965,Apr,1965,4,293280.0,8798.4
1965,May,1965,5,461143.0,14295.433
1965,Jun,1965,6,583311.0,17499.33
1965,Jul,1965,7,278169.0,8623.239
1965,Aug,1965,8,171653.0,5321.243
1965,Sep,1965,9,94846.0,2845.38
1966,Oct,1965,10,88773.0,2751.963
1966,Nov,1965,11,93340.0,2800.2
1966,Dec,1965,12,74874.0,2321.094
1966,Jan,1966,1,83403.0,2585.493
1966,Feb,1966,2,72460.0,2028.88
1966,Mar,1966,3,101242.0,3138.502
1966,Apr,1966,4,204018.0,6120.54
1966,May,1966,5,349626.0,10838.406
1966,Jun,1966,6,403490.0,12104.7
1966,Jul,1966,7,250339.0,7760.509
1966,Aug,1966,8,126338.0,3916.478
1966,Sep,1966,9,83558.0,2506.74
1967,Oct,1966,10,71983.0,2231.473
1967,Nov,1966,11,77484.0,2324.52
1967,Dec,1966,12,93227.0,2890.037
1967,Jan,1967,1,97685.0,3028.235
1967,Feb,1967,2,104689.0,2931.292
1967,Mar,1967,3,96183.0,2981.673
1967,Apr,1967,4,122947.0,3688.41
1967,May,1967,5,382989.0,11872.659
1967,Jun,1967,6,711408.0,21342.24
1967,Jul,1967,7,326534.0,10122.554
1967,Aug,1967,8,139158.0,4313.898
1967,Sep,1967,9,90663.0,2719.89
1968,Oct,1967,10,86156.0,2670.836
1968,Nov,1967,11,97544.0,2926.32
1968,Dec,1967,12,77950.0,2416.45
1968,Jan,1968,1,89220.0,2765.82
1968,Feb,1968,2,139135.0,4034.915
1968,Mar,1968,3,143524.0,4449.244
1968,Apr,1968,4,122202.0,3666.06
1968,May,1968,5,316600.0,9814.6
1968,Jun,1968,6,468429.0,14052.87
1968,Jul,1968,7,271062.0,8402.922
1968,Aug,1968,8,144144.0,4468.464
1968,Sep,1968,9,119641.0,3589.23
1969,Oct,1968,10,106388.0,3298.028
1969,Nov,1968,11,116172.0,3485.16
1969,Dec,1968,12,99764.0,3092.684
1969,Jan,1969,1,126488.0,3921.128
1969,Feb,1969,2,90646.0,2538.088
1969,Mar,1969,3,121880.0,3778.28
1969,Apr,1969,4,358917.0,10767.51
1969,May,1969,5,561046.0,17392.426
1969,Jun,1969,6,490738.0,14722.14
1969,Jul,1969,7,233708.0,7244.948
1969,Aug,1969,8,110291.0,3419.021
1969,Sep,1969,9,82738.0,2482.14
1970,Oct,1969,10,87035.0,2698.085
1970,Nov,1969,11,80471.0,2414.13
1970,Dec,1969,12,65801.0,2039.831
1970,Jan,1970,1,114691.0,3555.421
1970,Feb,1970,2,112104.0,3138.912
1970,Mar,1970,3,106617.0,3305.127
1970,Apr,1970,4,122150.0,3664.5
1970,May,1970,5,370579.0,11487.949
1970,Jun,1970,6,524249.0,15727.47
1970,Jul,1970,7,212783.0,6596.273
1970,Aug,1970,8,114694.0,3555.514
1970,Sep,1970,9,78502.0,2355.06
1971,Oct,1970,10,70944.0,2199.264
1971,Nov,1970,11,77262.0,2317.86
1971,Dec,1970,12,78138.0,2422.278
1971,Jan,1971,1,136926.0,4244.706
1971,Feb,1971,2,172043.0,4817.204
1971,Mar,1971,3,139117.0,4312.627
1971,Apr,1971,4,238777.0,7163.31
1971,May,1971,5,635121.0,19688.751
